id, title, description, SKU, primaryBrand, daysToShip
100,Refined Cotton Gloves,"Dolores consequatur eaque laboriosam sed velit debitis. Nam et voluptas consequatur.",4489333,"Jakubowski Group", "Ships In 4 Business Days"
101,Practical Metal Soap,"Qui accusamus quam aut consequatur tempore iusto officiis explicabo. Delectus et excepturi ullam sint excepturi ducimus molestiae et. Hic optio delectus. Ea et expedita fugit rem ratione consequatur tempore cupiditate. Repellat facere distinctio aliquam veritatis consequatur. Inventore iusto eum velit.",1628583,"Daniel, Brekke and Murphy", "Ships In 9 Business Days"
102,Practical Fresh Pants,"Aperiam placeat saepe cumque itaque expedita repellendus omnis asperiores. Expedita facilis et unde et aut ea. Quasi harum et odio consequatur natus voluptatem et minus omnis.",1855670,"Parker - Wiegand", "Ships In 9 Business Days"
103,Licensed Plastic Chicken,"Natus veniam enim. Atque est praesentium eaque architecto facilis et corrupti blanditiis. Et perferendis quisquam.",7194852,"Funk Inc", "Ships In 3 Business Days"
104,Incredible Fresh Bacon,"Iusto temporibus ut quidem aut. Earum libero ex delectus sint.",494388,"Cremin and Sons", "Ships In 8 Business Days"
105,Refined Wooden Chips,"Qui minus illum ut vero consequuntur et. Voluptate voluptatum fugit odit accusantium autem quaerat debitis suscipit.",7967037,"Eichmann - Dach", "Ships In 3 Business Days"
106,Ergonomic Wooden Towels,"Unde quaerat optio neque reiciendis sit et in fugiat eum. Sed omnis quia distinctio necessitatibus rem aspernatur veniam.",6385411,"Lowe and Sons", "Ships In 5 Business Days"
107,Handmade Granite Chips,"Ratione et ut enim. Deleniti possimus similique et. Voluptatem eius aliquid quasi quisquam quam quo voluptatibus.",4226364,"Kovacek, Bauch and Cartwright", "Ships In 7 Business Days"
108,Refined Metal Keyboard,"Consequuntur dicta quisquam voluptatum. Et enim error libero. Quidem quia aliquam. Aperiam quaerat tenetur et aliquid suscipit omnis voluptas cum. Id ipsam nesciunt occaecati necessitatibus et dolores nobis et.",8542174,"Hermiston and Sons", "Ships In 4 Business Days"
109,Sleek Plastic Tuna,"Quo in deserunt et ut eius sunt. Enim quia unde ex explicabo ullam voluptates enim impedit dolores. Aspernatur doloribus et. Ex minus tenetur illo nihil quidem quasi quam quas commodi.",3372402,"Bartell, Huel and Cormier", "Ships In 6 Business Days"
110,Handmade Soft Fish,"Natus consequatur quis aut alias impedit. Odio neque aut rerum dolores quae. Consequuntur officia minus dignissimos eius magnam laborum fugit qui hic. Quis iste dolorum praesentium occaecati velit autem aut.",8553906,"Fahey and Sons", "Ships In 6 Business Days"
111,Fantastic Soft Sausages,"Et soluta assumenda omnis rerum velit illo distinctio. Dolore qui est aut temporibus ea veniam omnis et facilis.",9748910,"Kozey Group", "Ships In 2 Business Days"
112,Handcrafted Cotton Mouse,"Sed odio assumenda perspiciatis nemo sit itaque voluptas consequatur. Est in sit nemo repellendus ut. Aut dicta sit magnam animi soluta quo voluptatem modi. Et perspiciatis recusandae ex doloribus illo. Voluptatem quis culpa facere quod repellat esse id.",4733625,"Tillman - Jakubowski", "Ships In 0 Business Days"
113,Awesome Rubber Soap,"Ipsa ad rem hic sit iusto adipisci saepe qui. Libero vel alias harum fugit dolorem culpa. Eaque qui et vero. Quo porro veritatis laudantium sit nemo. Perspiciatis quia nam iusto esse dolor ut.",4509664,"Hauck - Olson", "Ships In 6 Business Days"
114,Ergonomic Soft Bacon,"Nobis hic magnam ut fuga doloremque dolores vero. Qui itaque quae totam alias. Placeat molestiae quidem.",1811331,"Kuphal - Larson", "Ships In 6 Business Days"
115,Refined Cotton Shoes,"Ullam dolorum delectus qui ipsum mollitia cumque. Recusandae vero rerum sequi eum in impedit. Nulla accusantium nisi est. A iure commodi autem repellendus sint perspiciatis.",163777,"Frami, Schumm and Leuschke", "Ships In 8 Business Days"
116,Small Plastic Ball,"Et voluptatem quia quia illum quas id soluta perspiciatis laudantium. Repellat veniam error ipsa quo. Modi sint modi vitae nihil tenetur odio magnam. Beatae quis facilis aut. Et adipisci atque ut eveniet beatae commodi sit aut. Quo voluptatem nobis labore delectus minus aliquid perferendis facilis eos.",1032975,"Schmidt, Connelly and Waters", "Ships In 4 Business Days"
